Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2013,5.84322475,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2014,5.51146279,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2015,6.018266632,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2016,5.955700526,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2017,5.88279442,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2018,5.720889829,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2019,6.458286941,National,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2008,3.4,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2009,3.5,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2010,3.4,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2011,3.6,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2012,3.7,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2013,3.7,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2014,3.6,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2015,3.9,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2016,3.4,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2017,3.4,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2018,3.2,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2019,3.6,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2020,1.8,Global,,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
